_id,id,asset_id,location,alternative_name,type,accessible,hours,location_details,url,address,PostedDate,AssetName,Reason,Comments,Status,geometry
1,263,79231,Bellevue Square Park,Bellevue Square Park Washroom,Washroom Building,,9 a.m. to 10 p.m.,Located at the east end of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/263/index.html,5 Bellevue Ave,2024-09-23T19:53:05,Bellevue Square Park Washroom,Technical Issues,West washroom is open but east washroom is closed for repairs.,2,"{'type': 'MultiPoint', 'coordinates': [[-79.40211534000001, 43.65359563]]}"
2,4,45442,Colonel Danforth Park,Colonel Danforth Park Washroom,Washroom Building,Entrance at Grade,9 a.m. to 10 p.m.,Located on the pathway west of the parking lot.,https://www.toronto.ca/data/parks/prd/facilities/complex/4/index.html,73 Colonel Danforth Trl  ,2024-09-23T07:59:44,Colonel Danforth Park Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.16492968, 43.77715782]]}"
3,1079,29392,East Point Park,East Point Park Ken Morrish Softball Complex Washroom,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Entrance is located on the outside of the Softball Complex.,https://www.toronto.ca/data/parks/prd/facilities/complex/1079/index.html,101 Copperfield Rd  ,2024-09-23T07:59:27,East Point Park Ken Morrish Softball Complex Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.16261168, 43.76026536]]}"
4,1094,29598,Port Union Village Common Park,Port Union Village Common Park Washroom,Washroom Building,"Accessible Stall, Entrance at Grade, Automatic Door Opener",9 a.m. to 10 p.m.,Located on the pathway between parking lot and the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/1094/index.html,105 Bridgend St  ,2024-09-23T07:59:13,Port Union Village Common Park Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.13477359999999, 43.77672534]]}"
5,522,29265,Adams Park,Adams Park West Fieldhouse Washroom,Washroom Building,,9 a.m. to 10 p.m.,Located on the pathway west of the splash pad.,https://www.toronto.ca/data/parks/prd/facilities/complex/522/index.html,2 Rozell Rd  ,2024-09-23T07:58:53,Adams Park West Fieldhouse Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.1468689, 43.792179319999995]]}"
6,1061,29384,E.T. Seton Park,E.T. Seton Park Washroom,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Located on the pathway between the north parking lot and archery range.,https://www.toronto.ca/data/parks/prd/facilities/complex/1061/index.html,73 Thorncliffe Park Dr  ,2024-09-23T07:03:22,E.T. Seton Park Washroom,Maintenance/Repairs,Portable washrooms are available on site until repairs are complete.,2,"{'type': 'MultiPoint', 'coordinates': [[-79.33740437, 43.70942662]]}"
7,78,29354,June Rowlands Park,June Rowlands Park Washroom,Washroom Building,Entrance at Grade,9 a.m. to 10 p.m.,Located along Davisville Avenue southwest of the sports field.,https://www.toronto.ca/data/parks/prd/facilities/complex/78/index.html,220 Davisville Ave  ,2024-09-22T12:00:31,June Rowlands Park Washroom,Maintenance/Repairs,One urinal temporarily out of service in Men's washroom. ,2,"{'type': 'MultiPoint', 'coordinates': [[-79.38818857, 43.700286670000004]]}"
8,284,29596,Perth Square Park,Perth Square Park Washroom ,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Located on the pathway west of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/284/index.html,350 Perth Ave  ,2024-09-17T07:25:38,Perth Square Park Washroom ,Under Construction,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.45295042, 43.66397273]]}"
9,1074,36442,Humber Bay Park West,Humber Bay Park West Washroom,Washroom Building,"Accessible Stall, Entrance at Grade, Child Change Table",9 a.m. to 10 p.m.,Located on the west side of the parking lot.,https://www.toronto.ca/data/parks/prd/facilities/complex/1074/index.html,2225 Lake Shore Blvd  W ,2024-09-16T11:58:05,Humber Bay Park West Washroom,Technical Issues,Power outage,0,"{'type': 'MultiPoint', 'coordinates': [[-79.48051239, 43.61953924]]}"
10,276,13677,Topham Park,Topham Park Community Centre and Clubhouse Washroom ,Washroom Building,,9 a.m. to 10 p.m.,Entrance is located on the outside of the Community Centre.,https://www.toronto.ca/data/parks/prd/facilities/complex/276/index.html,181 Westview Blvd  ,2024-09-13T00:13:42,Topham Park Community Centre and Clubhouse Washroom ,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.30690823, 43.71078337]]}"
11,2024,29689,Toronto Islands - Toronto Island Park,Toronto Islands - Ferry Dock Washroom,Washroom Building,"Accessible Stall, Entrance at Grade, Child Change Table",None,Located at the west side of the ferry dock plaza.,https://www.toronto.ca/data/parks/prd/facilities/complex/2024/index.html,9 Queens Quay  W ,2024-09-11T10:29:25,Toronto Islands - Ferry Dock Washroom,None,Urinals in men's washroom turned off due to water seeping from pipes.  Men's washroom open,2,"{'type': 'MultiPoint', 'coordinates': [[-79.37907425, 43.62231261]]}"
12,1508,74844,Humberline Park,Humberline Park Washroom ,Washroom Building,"Accessible Stall, Entrance at Grade, Automatic Door Opener, Child Change Table, Adult Change Table",9 a.m. to 10 p.m.,Located on the pathway next to the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/1508/index.html,32 Humberline Dr  ,2024-09-09T11:22:19,Humberline Park Washroom ,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.61579573, 43.731516619999994]]}"
